Order ID,Product ID,SKU ID,Category,Quantity,Price per Unit,Sales
6023,Product_169,SKU_727,Automotive,5,626.44,3132.2000000000003
6023,Product_083,SKU_402,Toys & Games,3,422.43,1267.29
8577,Product_159,SKU_199,Electronics,3,622.58,1867.7400000000002
8577,Product_117,SKU_676,Books & Media,4,302.88,1211.52
8577,Product_037,SKU_812,Electronics,4,981.43,3925.72
8577,Product_086,SKU_538,Electronics,3,340.66,1021.98
6919,Product_122,SKU_803,Electronics,4,348.94,1395.76
8080,Product_001,SKU_314,Health & Wellness,5,690.96,3454.8
8080,Product_074,SKU_773,Beauty & Personal Care,5,31.79,158.95
378,Product_198,SKU_815,Health & Wellness,3,669.45,2008.3500000000001
378,Product_084,SKU_146,Groceries & Gourmet Food,4,433.79,1735.16
378,Product_157,SKU_961,Home Appliances,2,458.34,916.68
378,Product_042,SKU_086,Books & Media,1,141.0,141.0
7771,Product_016,SKU_529,Home Appliances,4,488.7,1954.8
7771,Product_110,SKU_798,Health & Wellness,5,387.05,1935.25
7771,Product_023,SKU_602,Beauty & Personal Care,1,90.38,90.38
9992,Product_091,SKU_807,Books & Media,4,297.67,1190.68
9992,Product_156,SKU_245,Beauty & Personal Care,3,88.69,266.07
9992,Product_101,SKU_059,Health & Wellness,3,599.46,1798.38
1392,Product_067,SKU_819,Home Appliances,1,902.54,902.54
1392,Product_193,SKU_581,Fashion & Apparel,5,865.81,4329.049999999999
6573,Product_158,SKU_607,Groceries & Gourmet Food,1,66.27,66.27
6573,Product_175,SKU_841,Fashion & Apparel,2,661.18,1322.36
6573,Product_161,SKU_647,Fashion & Apparel,1,366.87,366.87
6573,Product_004,SKU_988,Beauty & Personal Care,2,21.36,42.72
6573,Product_032,SKU_762,Electronics,1,298.45,298.45
6573,Product_171,SKU_636,Toys & Games,5,225.59,1127.95
2938,Product_004,SKU_290,Beauty & Personal Care,1,68.2,68.2
2938,Product_111,SKU_640,Electronics,3,181.22,543.66
2938,Product_101,SKU_194,Health & Wellness,3,917.02,2751.06
8763,Product_130,SKU_888,Fashion & Apparel,5,401.59,2007.9499999999998
8763,Product_010,SKU_324,Books & Media,3,239.89,719.67
8763,Product_064,SKU_038,Fashion & Apparel,4,779.96,3119.84
8763,Product_073,SKU_596,Beauty & Personal Care,5,95.4,477.0
8763,Product_075,SKU_508,Home Appliances,3,606.49,1819.47
8763,Product_063,SKU_671,Health & Wellness,4,438.16,1752.64
2970,Product_037,SKU_801,Electronics,3,55.75,167.25
7678,Product_185,SKU_837,Beauty & Personal Care,2,68.33,136.66
7678,Product_031,SKU_528,Sports & Outdoors,1,706.14,706.14
7678,Product_117,SKU_621,Books & Media,4,799.42,3197.68
7678,Product_004,SKU_055,Beauty & Personal Care,4,24.95,99.8
8572,Product_116,SKU_628,Home Appliances,4,354.56,1418.24
8572,Product_118,SKU_674,Toys & Games,2,345.1,690.2
8572,Product_177,SKU_237,Toys & Games,1,217.3,217.3
8572,Product_104,SKU_073,Fashion & Apparel,2,92.96,185.92
4910,Product_034,SKU_723,Automotive,5,770.75,3853.75
4910,Product_113,SKU_976,Home Appliances,1,993.2,993.2
4910,Product_186,SKU_041,Toys & Games,2,783.74,1567.48
4910,Product_113,SKU_102,Home Appliances,1,830.06,830.06
5197,Product_076,SKU_611,Fashion & Apparel,5,595.23,2976.15
5197,Product_132,SKU_893,Health & Wellness,3,68.55,205.64999999999998
5197,Product_198,SKU_369,Health & Wellness,1,980.89,980.89
5197,Product_143,SKU_109,Fashion & Apparel,4,666.82,2667.28
6185,Product_123,SKU_294,Automotive,4,381.23,1524.92
6185,Product_146,SKU_193,Sports & Outdoors,4,511.99,2047.96
6185,Product_113,SKU_066,Home Appliances,4,910.56,3642.24
6185,Product_085,SKU_625,Books & Media,5,592.77,2963.85
6185,Product_096,SKU_665,Home Appliances,5,53.58,267.9
6327,Product_029,SKU_873,Automotive,2,945.76,1891.52
6327,Product_060,SKU_475,Books & Media,4,708.42,2833.68
6327,Product_003,SKU_697,Toys & Games,1,77.64,77.64
1938,Product_147,SKU_736,Electronics,4,312.45,1249.8
1938,Product_106,SKU_054,Books & Media,4,301.37,1205.48
1938,Product_151,SKU_781,Automotive,1,99.82,99.82
1938,Product_034,SKU_723,Automotive,3,832.62,2497.86
1938,Product_093,SKU_715,Books & Media,5,628.09,3140.4500000000003
1938,Product_021,SKU_003,Groceries & Gourmet Food,5,957.31,4786.549999999999
3274,Product_014,SKU_877,Beauty & Personal Care,4,81.64,326.56
3274,Product_104,SKU_926,Fashion & Apparel,4,829.44,3317.76
3274,Product_129,SKU_205,Fashion & Apparel,2,230.08,460.16
3274,Product_156,SKU_245,Beauty & Personal Care,2,21.26,42.52
3274,Product_182,SKU_061,Beauty & Personal Care,1,29.72,29.72
3274,Product_170,SKU_252,Books & Media,2,820.62,1641.24
3274,Product_091,SKU_562,Books & Media,4,998.51,3994.04
3274,Product_141,SKU_545,Books & Media,4,185.56,742.24
3274,Product_045,SKU_118,Automotive,1,391.74,391.74
7834,Product_028,SKU_859,Books & Media,2,405.99,811.98
7834,Product_171,SKU_096,Toys & Games,1,249.34,249.34
7834,Product_170,SKU_252,Books & Media,3,55.61,166.82999999999998
7834,Product_088,SKU_393,Electronics,4,204.59,818.36
9814,Product_052,SKU_040,Health & Wellness,2,951.63,1903.26
9814,Product_153,SKU_838,Toys & Games,1,808.12,808.12
9814,Product_179,SKU_835,Home Appliances,1,106.1,106.1
9814,Product_084,SKU_146,Groceries & Gourmet Food,4,876.99,3507.96
9814,Product_001,SKU_444,Health & Wellness,2,856.0,1712.0
9814,Product_106,SKU_778,Books & Media,1,524.32,524.32
8997,Product_088,SKU_393,Electronics,1,563.02,563.02
8997,Product_067,SKU_629,Home Appliances,5,66.75,333.75
7412,Product_023,SKU_406,Beauty & Personal Care,5,84.52,422.59999999999997
7412,Product_045,SKU_425,Automotive,5,962.08,4810.400000000001
7412,Product_143,SKU_441,Fashion & Apparel,5,72.94,364.7
7412,Product_165,SKU_185,Groceries & Gourmet Food,2,470.89,941.78
8264,Product_156,SKU_069,Beauty & Personal Care,3,58.46,175.38
8264,Product_041,SKU_260,Automotive,5,283.13,1415.65
5069,Product_077,SKU_474,Automotive,4,54.13,216.52
5069,Product_022,SKU_683,Sports & Outdoors,5,252.32,1261.6
8551,Product_037,SKU_673,Electronics,5,375.95,1879.75
8551,Product_151,SKU_329,Automotive,1,397.82,397.82
8551,Product_025,SKU_070,Toys & Games,2,766.09,1532.18
8551,Product_176,SKU_603,Health & Wellness,3,760.78,2282.34
8551,Product_081,SKU_774,Books & Media,3,626.56,1879.6799999999998
8551,Product_041,SKU_122,Automotive,5,794.95,3974.75
655,Product_076,SKU_886,Fashion & Apparel,1,299.21,299.21
655,Product_073,SKU_659,Beauty & Personal Care,5,76.31,381.55
655,Product_061,SKU_922,Toys & Games,5,910.58,4552.900000000001
6387,Product_062,SKU_568,Toys & Games,4,177.5,710.0
6387,Product_115,SKU_044,Health & Wellness,2,780.31,1560.62
6387,Product_091,SKU_446,Books & Media,1,449.42,449.42
6387,Product_189,SKU_141,Beauty & Personal Care,5,57.01,285.05
8206,Product_062,SKU_970,Toys & Games,1,738.93,738.93
8206,Product_154,SKU_854,Toys & Games,4,567.14,2268.56
8206,Product_160,SKU_861,Health & Wellness,2,228.74,457.48
8206,Product_186,SKU_537,Toys & Games,3,86.24,258.71999999999997
8206,Product_046,SKU_469,Fashion & Apparel,1,675.33,675.33
8206,Product_147,SKU_729,Electronics,5,902.4,4512.0
8206,Product_162,SKU_881,Health & Wellness,5,940.61,4703.05
8206,Product_117,SKU_258,Books & Media,1,836.19,836.19
8206,Product_132,SKU_116,Health & Wellness,5,940.92,4704.599999999999
8206,Product_030,SKU_559,Toys & Games,1,872.52,872.52
8206,Product_104,SKU_073,Fashion & Apparel,3,549.61,1648.83
8306,Product_118,SKU_527,Toys & Games,1,855.73,855.73
8306,Product_108,SKU_492,Books & Media,5,54.51,272.55
8306,Product_004,SKU_189,Beauty & Personal Care,3,34.07,102.21000000000001
8306,Product_161,SKU_427,Fashion & Apparel,2,150.69,301.38
8306,Product_039,SKU_586,Groceries & Gourmet Food,2,624.88,1249.76
8306,Product_042,SKU_200,Books & Media,2,501.13,1002.26
8306,Product_066,SKU_800,Home Appliances,5,937.22,4686.1
8306,Product_190,SKU_831,Groceries & Gourmet Food,5,70.69,353.45
8306,Product_168,SKU_090,Groceries & Gourmet Food,1,573.02,573.02
331,Product_182,SKU_249,Beauty & Personal Care,1,77.85,77.85
331,Product_141,SKU_342,Books & Media,1,242.98,242.98
331,Product_188,SKU_463,Automotive,4,172.57,690.28
331,Product_108,SKU_535,Books & Media,2,786.51,1573.02
331,Product_142,SKU_634,Health & Wellness,1,719.52,719.52
331,Product_001,SKU_314,Health & Wellness,4,683.23,2732.92
331,Product_092,SKU_219,Fashion & Apparel,2,791.73,1583.46
331,Product_182,SKU_577,Beauty & Personal Care,3,22.9,68.69999999999999
1757,Product_194,SKU_710,Groceries & Gourmet Food,3,580.49,1741.47
1757,Product_191,SKU_597,Books & Media,2,577.51,1155.02
962,Product_186,SKU_944,Toys & Games,5,234.72,1173.6
8743,Product_171,SKU_780,Toys & Games,4,787.91,3151.64
8743,Product_178,SKU_569,Beauty & Personal Care,2,99.66,199.32
8743,Product_064,SKU_256,Fashion & Apparel,2,640.06,1280.12
8743,Product_127,SKU_860,Books & Media,1,979.31,979.31
8743,Product_125,SKU_439,Toys & Games,3,213.78,641.34
8743,Product_046,SKU_890,Fashion & Apparel,4,51.15,204.6
954,Product_116,SKU_367,Home Appliances,1,289.13,289.13
954,Product_058,SKU_276,Health & Wellness,4,812.67,3250.68
954,Product_152,SKU_279,Beauty & Personal Care,5,54.56,272.8
954,Product_132,SKU_368,Health & Wellness,1,590.86,590.86
1653,Product_097,SKU_036,Toys & Games,1,541.09,541.09
4023,Product_018,SKU_065,Fashion & Apparel,2,408.91,817.82
4023,Product_094,SKU_306,Home Appliances,1,362.55,362.55
4023,Product_091,SKU_677,Books & Media,5,267.74,1338.7
4023,Product_045,SKU_608,Automotive,4,519.39,2077.56
4023,Product_132,SKU_368,Health & Wellness,4,703.0,2812.0
4023,Product_053,SKU_733,Automotive,2,523.47,1046.94
1243,Product_040,SKU_462,Health & Wellness,4,907.72,3630.88
1243,Product_106,SKU_630,Books & Media,5,766.26,3831.3
1243,Product_022,SKU_531,Sports & Outdoors,5,820.7,4103.5
1243,Product_190,SKU_718,Groceries & Gourmet Food,3,163.07,489.21
5974,Product_195,SKU_338,Fashion & Apparel,1,848.01,848.01
7304,Product_190,SKU_502,Groceries & Gourmet Food,5,953.67,4768.349999999999
6230,Product_106,SKU_869,Books & Media,1,460.96,460.96
6230,Product_028,SKU_272,Books & Media,1,980.94,980.94
8084,Product_141,SKU_887,Books & Media,2,54.22,108.44
8084,Product_152,SKU_279,Beauty & Personal Care,4,92.81,371.24
156,Product_088,SKU_393,Electronics,1,535.29,535.29
2318,Product_175,SKU_841,Fashion & Apparel,5,458.42,2292.1
2318,Product_004,SKU_868,Beauty & Personal Care,5,36.48,182.39999999999998
2318,Product_185,SKU_404,Beauty & Personal Care,4,58.47,233.88
2318,Product_099,SKU_123,Beauty & Personal Care,3,66.3,198.89999999999998
2318,Product_122,SKU_365,Electronics,4,992.32,3969.28
2318,Product_175,SKU_841,Fashion & Apparel,2,559.06,1118.12
1600,Product_029,SKU_873,Automotive,2,160.12,320.24
1600,Product_008,SKU_049,Fashion & Apparel,5,277.81,1389.05
1600,Product_094,SKU_876,Home Appliances,3,681.79,2045.37
1600,Product_079,SKU_437,Sports & Outdoors,4,775.25,3101.0
1600,Product_113,SKU_102,Home Appliances,4,931.67,3726.68
1600,Product_169,SKU_741,Automotive,1,616.05,616.05
8966,Product_077,SKU_317,Automotive,4,848.56,3394.24
8966,Product_119,SKU_978,Home Appliances,3,100.27,300.81
8966,Product_028,SKU_859,Books & Media,1,146.81,146.81
8966,Product_094,SKU_578,Home Appliances,5,478.51,2392.55
8428,Product_118,SKU_674,Toys & Games,5,134.85,674.25
8428,Product_089,SKU_830,Sports & Outdoors,1,128.06,128.06
8428,Product_117,SKU_184,Books & Media,3,739.17,2217.5099999999998
8428,Product_149,SKU_519,Groceries & Gourmet Food,3,91.49,274.46999999999997
3884,Product_019,SKU_284,Electronics,5,575.52,2877.6
3884,Product_158,SKU_013,Groceries & Gourmet Food,2,681.09,1362.18
3884,Product_135,SKU_750,Books & Media,3,579.23,1737.69
3564,Product_120,SKU_482,Electronics,1,905.84,905.84
3564,Product_174,SKU_867,Health & Wellness,5,824.55,4122.75
3564,Product_121,SKU_758,Groceries & Gourmet Food,3,896.58,2689.7400000000002
3564,Product_040,SKU_632,Health & Wellness,5,641.89,3209.45
1198,Product_129,SKU_696,Fashion & Apparel,1,168.98,168.98
1198,Product_113,SKU_307,Home Appliances,2,298.78,597.56
1198,Product_135,SKU_478,Books & Media,2,644.3,1288.6
1198,Product_126,SKU_651,Beauty & Personal Care,4,23.12,92.48
1198,Product_012,SKU_517,Home Appliances,3,707.07,2121.21
1198,Product_190,SKU_502,Groceries & Gourmet Food,2,293.13,586.26
1198,Product_143,SKU_510,Fashion & Apparel,5,352.16,1760.8000000000002
1198,Product_066,SKU_147,Home Appliances,4,642.53,2570.12
3218,Product_021,SKU_003,Groceries & Gourmet Food,3,772.2,2316.6000000000004
5696,Product_171,SKU_780,Toys & Games,4,243.27,973.08
5696,Product_013,SKU_595,Home Appliances,3,843.8,2531.3999999999996
5696,Product_118,SKU_674,Toys & Games,4,589.8,2359.2
5610,Product_071,SKU_589,Beauty & Personal Care,5,31.1,155.5
5610,Product_021,SKU_694,Groceries & Gourmet Food,4,546.82,2187.28
5610,Product_101,SKU_011,Health & Wellness,3,879.83,2639.4900000000002
2251,Product_069,SKU_942,Toys & Games,3,349.75,1049.25
2251,Product_152,SKU_279,Beauty & Personal Care,2,22.56,45.12
2251,Product_118,SKU_062,Toys & Games,4,771.1,3084.4
2251,Product_022,SKU_683,Sports & Outdoors,1,668.64,668.64
2575,Product_130,SKU_203,Fashion & Apparel,4,195.59,782.36
2575,Product_040,SKU_312,Health & Wellness,3,360.87,1082.6100000000001
2575,Product_094,SKU_876,Home Appliances,3,347.9,1043.6999999999998
2575,Product_200,SKU_271,Fashion & Apparel,5,255.21,1276.05
2575,Product_178,SKU_808,Beauty & Personal Care,3,89.98,269.94
2575,Product_071,SKU_213,Beauty & Personal Care,3,76.43,229.29000000000002
4353,Product_004,SKU_292,Beauty & Personal Care,5,27.03,135.15
4353,Product_125,SKU_770,Toys & Games,2,134.7,269.4
4353,Product_057,SKU_168,Automotive,1,878.59,878.59
4353,Product_153,SKU_322,Toys & Games,1,129.51,129.51
4353,Product_199,SKU_398,Automotive,1,429.37,429.37
2969,Product_130,SKU_113,Fashion & Apparel,3,897.32,2691.96
2969,Product_149,SKU_442,Groceries & Gourmet Food,3,458.54,1375.6200000000001
2969,Product_044,SKU_627,Beauty & Personal Care,4,55.14,220.56
2969,Product_114,SKU_962,Home Appliances,5,125.7,628.5
9816,Product_084,SKU_146,Groceries & Gourmet Food,1,916.26,916.26
9816,Product_029,SKU_873,Automotive,1,688.25,688.25
9816,Product_044,SKU_627,Beauty & Personal Care,1,22.57,22.57
9816,Product_011,SKU_111,Beauty & Personal Care,1,99.79,99.79
9816,Product_168,SKU_871,Groceries & Gourmet Food,1,439.44,439.44
9816,Product_155,SKU_987,Toys & Games,5,551.25,2756.25
8038,Product_078,SKU_149,Automotive,5,615.77,3078.85
8038,Product_157,SKU_247,Home Appliances,5,104.28,521.4
3786,Product_122,SKU_933,Electronics,3,722.87,2168.61
3786,Product_109,SKU_202,Fashion & Apparel,4,662.77,2651.08
2465,Product_082,SKU_389,Health & Wellness,5,466.5,2332.5
2465,Product_026,SKU_993,Fashion & Apparel,1,603.31,603.31
1356,Product_154,SKU_435,Toys & Games,1,632.4,632.4
8051,Product_142,SKU_858,Health & Wellness,2,652.8,1305.6
8051,Product_116,SKU_866,Home Appliances,3,556.04,1668.12
8051,Product_065,SKU_989,Toys & Games,4,839.54,3358.16
8117,Product_143,SKU_510,Fashion & Apparel,4,449.42,1797.68
8117,Product_085,SKU_656,Books & Media,4,816.14,3264.56
7255,Product_119,SKU_239,Home Appliances,1,810.73,810.73
7255,Product_108,SKU_492,Books & Media,5,562.19,2810.9500000000003
7656,Product_042,SKU_716,Books & Media,1,536.98,536.98
7656,Product_134,SKU_984,Beauty & Personal Care,2,69.61,139.22
7656,Product_141,SKU_887,Books & Media,1,246.43,246.43
7656,Product_116,SKU_120,Home Appliances,4,572.59,2290.36
7656,Product_045,SKU_118,Automotive,5,877.89,4389.45
7656,Product_159,SKU_259,Electronics,5,658.73,3293.65
5792,Product_023,SKU_605,Beauty & Personal Care,5,85.65,428.25
5792,Product_125,SKU_439,Toys & Games,2,467.47,934.94
5792,Product_110,SKU_934,Health & Wellness,5,376.9,1884.5
4614,Product_118,SKU_527,Toys & Games,1,635.39,635.39
6580,Product_073,SKU_905,Beauty & Personal Care,3,86.23,258.69
6580,Product_162,SKU_964,Health & Wellness,1,851.0,851.0
6580,Product_174,SKU_483,Health & Wellness,3,660.28,1980.84
6580,Product_149,SKU_775,Groceries & Gourmet Food,3,808.85,2426.55
6580,Product_189,SKU_495,Beauty & Personal Care,1,76.68,76.68
6580,Product_017,SKU_014,Beauty & Personal Care,5,44.5,222.5
6580,Product_110,SKU_584,Health & Wellness,5,91.43,457.15000000000003
6580,Product_062,SKU_568,Toys & Games,1,644.33,644.33
6580,Product_048,SKU_176,Toys & Games,2,936.28,1872.56
6580,Product_010,SKU_337,Books & Media,1,276.6,276.6
6580,Product_199,SKU_346,Automotive,3,617.66,1852.98
6580,Product_164,SKU_913,Electronics,5,991.31,4956.549999999999
6580,Product_168,SKU_661,Groceries & Gourmet Food,2,917.31,1834.62
7080,Product_029,SKU_631,Automotive,5,269.2,1346.0
7080,Product_062,SKU_217,Toys & Games,2,330.34,660.68
7080,Product_064,SKU_257,Fashion & Apparel,5,369.74,1848.7
7080,Product_132,SKU_893,Health & Wellness,4,280.77,1123.08
105,Product_035,SKU_965,Groceries & Gourmet Food,4,439.69,1758.76
105,Product_117,SKU_184,Books & Media,4,190.53,762.12
105,Product_067,SKU_629,Home Appliances,1,769.98,769.98
7261,Product_200,SKU_506,Fashion & Apparel,2,171.56,343.12
7261,Product_081,SKU_917,Books & Media,3,368.58,1105.74
5421,Product_173,SKU_299,Fashion & Apparel,4,707.05,2828.2
7689,Product_119,SKU_639,Home Appliances,2,716.2,1432.4
7689,Product_064,SKU_038,Fashion & Apparel,1,521.74,521.74
9264,Product_081,SKU_740,Books & Media,5,451.39,2256.95
9264,Product_092,SKU_615,Fashion & Apparel,1,253.8,253.8
9264,Product_127,SKU_097,Books & Media,1,173.8,173.8
9264,Product_077,SKU_445,Automotive,4,136.9,547.6
9264,Product_149,SKU_752,Groceries & Gourmet Food,2,751.05,1502.1
9264,Product_059,SKU_840,Fashion & Apparel,5,355.84,1779.1999999999998
5360,Product_126,SKU_651,Beauty & Personal Care,3,91.24,273.71999999999997
5360,Product_125,SKU_439,Toys & Games,4,111.18,444.72
5360,Product_181,SKU_228,Beauty & Personal Care,1,78.39,78.39
5360,Product_115,SKU_297,Health & Wellness,5,742.15,3710.75
8160,Product_062,SKU_568,Toys & Games,4,685.47,2741.88
8160,Product_188,SKU_463,Automotive,3,936.59,2809.77
767,Product_105,SKU_253,Fashion & Apparel,4,738.7,2954.8
2851,Product_071,SKU_006,Beauty & Personal Care,1,61.11,61.11
2851,Product_091,SKU_551,Books & Media,5,422.12,2110.6
2851,Product_113,SKU_102,Home Appliances,1,716.12,716.12
2851,Product_001,SKU_444,Health & Wellness,2,468.08,936.16
1701,Product_087,SKU_618,Beauty & Personal Care,4,24.96,99.84
1701,Product_055,SKU_557,Automotive,4,854.3,3417.2
1701,Product_123,SKU_432,Automotive,5,468.11,2340.55
1701,Product_025,SKU_394,Toys & Games,5,721.57,3607.8500000000004
1701,Product_180,SKU_408,Fashion & Apparel,3,473.23,1419.69
1701,Product_034,SKU_724,Automotive,1,733.25,733.25
7160,Product_020,SKU_031,Health & Wellness,5,398.68,1993.4
7160,Product_173,SKU_426,Fashion & Apparel,4,839.34,3357.36
7160,Product_052,SKU_135,Health & Wellness,4,426.87,1707.48
8008,Product_168,SKU_133,Groceries & Gourmet Food,5,670.41,3352.0499999999997
8008,Product_168,SKU_871,Groceries & Gourmet Food,4,655.79,2623.16
8008,Product_006,SKU_536,Automotive,2,894.73,1789.46
8008,Product_101,SKU_756,Health & Wellness,3,432.78,1298.34
2699,Product_031,SKU_325,Sports & Outdoors,5,79.17,395.85
2699,Product_121,SKU_224,Groceries & Gourmet Food,4,128.07,512.28
2699,Product_004,SKU_959,Beauty & Personal Care,5,70.27,351.34999999999997
2478,Product_083,SKU_206,Toys & Games,4,344.64,1378.56
2478,Product_089,SKU_830,Sports & Outdoors,1,125.28,125.28
2478,Product_133,SKU_579,Toys & Games,2,76.46,152.92
2478,Product_106,SKU_778,Books & Media,5,424.57,2122.85
2478,Product_177,SKU_063,Toys & Games,4,707.9,2831.6
2478,Product_185,SKU_837,Beauty & Personal Care,2,62.34,124.68
2478,Product_162,SKU_384,Health & Wellness,2,558.05,1116.1
2478,Product_186,SKU_289,Toys & Games,5,384.16,1920.8000000000002
3349,Product_051,SKU_765,Automotive,3,203.56,610.6800000000001
6622,Product_191,SKU_708,Books & Media,3,258.5,775.5
6622,Product_026,SKU_470,Fashion & Apparel,2,596.36,1192.72
6622,Product_155,SKU_987,Toys & Games,3,384.78,1154.34
6622,Product_131,SKU_047,Health & Wellness,5,288.84,1444.1999999999998
6622,Product_183,SKU_390,Fashion & Apparel,5,874.97,4374.85
2698,Product_095,SKU_409,Home Appliances,1,628.7,628.7
2698,Product_122,SKU_375,Electronics,1,425.27,425.27
4274,Product_158,SKU_612,Groceries & Gourmet Food,4,864.56,3458.24
4274,Product_164,SKU_943,Electronics,1,188.15,188.15
4274,Product_002,SKU_143,Home Appliances,2,756.99,1513.98
86,Product_095,SKU_771,Home Appliances,2,743.77,1487.54
86,Product_016,SKU_614,Home Appliances,4,464.78,1859.12
86,Product_170,SKU_496,Books & Media,4,533.13,2132.52
86,Product_167,SKU_229,Toys & Games,1,811.37,811.37
3804,Product_174,SKU_104,Health & Wellness,4,374.56,1498.24
3804,Product_149,SKU_927,Groceries & Gourmet Food,4,262.7,1050.8
3804,Product_045,SKU_366,Automotive,3,418.25,1254.75
3804,Product_074,SKU_885,Beauty & Personal Care,4,93.27,373.08
3622,Product_028,SKU_479,Books & Media,5,436.42,2182.1
3622,Product_107,SKU_458,Sports & Outdoors,2,623.62,1247.24
9719,Product_186,SKU_041,Toys & Games,1,815.65,815.65
9719,Product_036,SKU_851,Sports & Outdoors,4,121.26,485.04
9719,Product_142,SKU_738,Health & Wellness,3,447.45,1342.35
9719,Product_160,SKU_622,Health & Wellness,2,679.43,1358.86
9719,Product_054,SKU_238,Books & Media,4,347.72,1390.88
9719,Product_042,SKU_028,Books & Media,2,673.12,1346.24
9719,Product_001,SKU_444,Health & Wellness,3,260.82,782.46
9719,Product_045,SKU_608,Automotive,5,105.92,529.6
9719,Product_171,SKU_305,Toys & Games,4,199.99,799.96
9719,Product_145,SKU_233,Fashion & Apparel,4,724.13,2896.52
5825,Product_152,SKU_906,Beauty & Personal Care,2,66.78,133.56
5825,Product_032,SKU_320,Electronics,2,679.1,1358.2
5825,Product_115,SKU_554,Health & Wellness,2,856.73,1713.46
6267,Product_002,SKU_796,Home Appliances,2,672.1,1344.2
6267,Product_066,SKU_941,Home Appliances,2,176.98,353.96
7101,Product_062,SKU_217,Toys & Games,5,162.68,813.4000000000001
7101,Product_072,SKU_473,Electronics,4,651.24,2604.96
